Name,Date,Time,Location,Topic
"
                                        
                                    City Council Stated Meeting",8/21/2014,"
                                        1:30 PM
                                    ",Council Chambers - City Hall, 
"
                                        
                                    City Council Stated Meeting",7/24/2014,"
                                        1:30 PM
                                    ",Council Chambers - City Hall, 
"
                                        
                                    Committee on Transportation",6/27/2014,"
                                        10:00 AM
                                    ",Committee Room - City Hall,"Multiple meeting items, please see Meeting Details for more information"
"
                                        
                                    City Council Stated Meeting",6/26/2014,"
                                        1:30 PM
                                    ",Council Chambers - City Hall, 
"
                                        
                                    Committee on Environmental Protection",6/25/2014,"
                                        1:00 PM
                                    ","250 Broadway - Committee Rm, 16th Fl.", 
"
                                        
                                    Committee on Civil Service and Labor",6/25/2014,"
                                        10:00 AM
                                    ",Council Chambers - City Hall,Oversight – The Real Reality – Working Conditions in the Nonfiction and Reality Television Industry in NYC.
"
                                        
                                    Committee on Youth Services",6/25/2014,"
                                        10:00 AM
                                    ","250 Broadway - Committee Rm, 14th Fl.", 
"
                                        
                                    Committee on Health",6/24/2014,"
                                        1:00 PM
                                    ",Council Chambers - City Hall,"Multiple meeting items, please see Meeting Details for more information"
"
                                        
                                    Committee on Transportation",6/23/2014,"
                                        Deferred
                                    ",Committee Room - City Hall,"Multiple meeting items, please see Meeting Details for more information"
"
                                        
                                    Committee on Contracts",6/23/2014,"
                                        10:00 AM
                                    ","250 Broadway - Committee Rm, 14th Fl.",Oversight – Continued Consideration of Local Law 18 of 2012 and Ways the City Might Better Contain Cost Overruns.
"
                                        
                                    Committee on Veterans",6/23/2014,"
                                        10:00 AM
                                    ","250 Broadway - Committee Rm, 16th Fl.",Oversight: The Mayor’s Office of Veterans Affairs – Examining the Role of MOVA in Serving New York City’s Veterans.
"
                                        
                                    Committee on Parks and Recreation",6/19/2014,"
                                        1:00 PM
                                    ","250 Broadway - Committee Rm, 16th Fl.Jointly with the Committee on Recovery and Resiliency","Multiple meeting items, please see Meeting Details for more information"
"
                                        
                                    Committee on Small Business",6/19/2014,"
                                        1:00 PM
                                    ",Committee Room - City HallJointly with the Committee on Economic Development,Mayor to revitalize the Mayor’s Office of Industrial and Manufacturing Business.
"
                                        
                                    Committee on Housing and Buildings",6/19/2014,"
                                        Deferred
                                    ",Council Chambers - City Hall, 
"
                                        
                                    Committee on Economic Development",6/19/2014,"
                                        1:00 PM
                                    ",Committee Room - City HallJointly with the Committee on Small Business,Mayor to revitalize the Mayor’s Office of Industrial and Manufacturing Business.
"
                                        
                                    Committee on Recovery and Resiliency",6/19/2014,"
                                        1:00 PM
                                    ","250 Broadway - Committee Rm, 16th Fl.Jointly with the Committee on Parks and Recreation","Multiple meeting items, please see Meeting Details for more information"
"
                                        
                                    Committee on Land Use",6/19/2014,"
                                        11:00 AM
                                    ",Committee Room - City Hall, 
"
                                        
                                    Committee on Civil Service and Labor",6/19/2014,"
                                        11:00 AM
                                    ",Council Chambers - City Hall,Licensing car wash facilities.
"
                                        
                                    Committee on Consumer Affairs",6/19/2014,"
                                        Deferred
                                    ","250 Broadway - Committee Rm, 16th Fl.", 
"
                                        
                                    Committee on Veterans",6/18/2014,"
                                        Deferred
                                    ","250 Broadway - Committee Rm, 16th Fl.", 
"
                                        
                                    Committee on Technology",6/18/2014,"
                                        1:00 PM
                                    ","250 Broadway - Committee Rm, 14th Fl.Jointly with the Subcommittee on Zoning and Franchises",Oversight:  DoITT’s Request for Proposals Concerning NYC Wifi and Information Hubs.
"
                                        
                                    Subcommittee on Zoning and Franchises",6/18/2014,"
                                        1:00 PM
                                    ","250 Broadway - Committee Rm, 14th Fl.Jointly with the Committee on Technology",Oversight:  DoITT’s Request for Proposals Concerning NYC Wifi and Information Hubs.
